Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
29,Hartford (America East),6,3-3,67,229,0.293,03/15/2016,2016.0
30,Ohio St. (Big Ten),8,5-3,80,274,0.292,03/15/2016,2016.0
31,Drexel (CAA),6,2-4,62,214,0.290,03/15/2016,2016.0
32,Massachusetts (CAA),7,3-4,66,232,0.284,03/15/2016,2016.0
33,Yale (Ivy League),5,5-0,62,218,0.284,03/15/2016,2016.0
34,Robert Morris (NEC),7,2-5,72,257,0.280,03/15/2016,2016.0
35,Towson (CAA),7,6-1,72,258,0.279,03/15/2016,2016.0
36,Holy Cross (Patriot),7,0-7,65,233,0.279,03/15/2016,2016.0
37,Lafayette (Patriot),5,1-4,39,140,0.279,03/15/2016,2016.0
38,Maryland (Big Ten),5,3-2,53,191,0.277,03/15/2016,2016.0
39,UMBC (America East),4,1-3,27,98,0.276,03/15/2016,2016.0
40,Marist (MAAC),5,1-4,41,150,0.273,03/15/2016,2016.0
41,Fairfield (CAA),7,2-5,60,224,0.268,03/15/2016,2016.0
42,Bryant (NEC),7,4-3,75,281,0.267,03/15/2016,2016.0
43,Navy (Patriot),5,3-2,48,181,0.265,03/15/2016,2016.0
44,Bellarmine (SoCon),7,3-4,53,200,0.265,03/15/2016,2016.0
45,Hofstra (CAA),6,4-2,59,223,0.265,03/15/2016,2016.0
46,Wagner (NEC),8,4-4,76,292,0.260,03/15/2016,2016.0
47,Hobart (NEC),7,4-3,68,262,0.260,03/15/2016,2016.0
48,Richmond (SoCon),7,6-1,64,247,0.259,03/15/2016,2016.0
49,Delaware (CAA),8,3-5,69,267,0.258,03/15/2016,2016.0
50,Mercer (SoCon),6,2-4,49,191,0.257,03/15/2016,2016.0
51,Marquette (Big East),5,4-1,47,184,0.255,03/15/2016,2016.0
52,St. John's (NY) (Big East),7,1-6,54,214,0.252,03/15/2016,2016.0
53,Virginia (ACC),7,3-4,76,302,0.252,03/15/2016,2016.0
54,Georgetown (Big East),6,1-5,51,205,0.249,03/15/2016,2016.0
55,Siena (MAAC),5,1-4,45,181,0.249,03/15/2016,2016.0
56,Sacred Heart (NEC),7,2-5,63,254,0.248,03/15/2016,2016.0
57,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/15/2016,2016.0
58,Furman (SoCon),6,0-6,39,158,0.247,03/15/2016,2016.0
59,Manhattan (MAAC),8,1-7,45,183,0.246,03/15/2016,2016.0
60,Quinnipiac (MAAC),4,3-1,39,160,0.244,03/15/2016,2016.0
61,Loyola Maryland (Patriot),6,4-2,56,236,0.237,03/15/2016,2016.0
62,Cornell (Ivy League),5,3-2,45,190,0.237,03/15/2016,2016.0
63,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/15/2016,2016.0
64,Colgate (Patriot),7,3-4,57,250,0.228,03/15/2016,2016.0
65,Binghamton (America East),4,0-4,29,129,0.225,03/15/2016,2016.0
66,Canisius (MAAC),3,1-2,26,119,0.218,03/15/2016,2016.0
67,VMI (SoCon),8,1-7,43,201,0.214,03/15/2016,2016.0
68,NJIT (Independent),8,0-8,42,202,0.208,03/15/2016,2016.0
-,UMass Lowell (America East),7,2-5,58,215,0.270,03/15/2016,2016.0
1,Denver (Big East),6,6-0,80,207,0.386,03/14/2016,2016.0
2,Brown (Ivy League),5,5-0,93,242,0.384,03/14/2016,2016.0
3,Duke (ACC),8,5-3,113,305,0.370,03/14/2016,2016.0
4,Saint Joseph's (NEC),6,4-2,81,221,0.367,03/14/2016,2016.0
5,Penn St. (Big Ten),7,5-2,90,252,0.357,03/14/2016,2016.0
6,Lehigh (Patriot),6,4-2,81,227,0.357,03/14/2016,2016.0
7,Stony Brook (America East),5,4-1,69,196,0.352,03/14/2016,2016.0
8,UAlbany (America East),4,3-1,55,160,0.344,03/14/2016,2016.0
9,Princeton (Ivy League),5,2-3,53,157,0.338,03/14/2016,2016.0
10,Harvard (Ivy League),6,4-2,69,205,0.337,03/14/2016,2016.0
11,Syracuse (ACC),5,5-0,72,215,0.335,03/14/2016,2016.0
12,North Carolina (ACC),7,4-3,93,288,0.323,03/14/2016,2016.0
13,Michigan (Big Ten),6,3-3,62,194,0.320,03/14/2016,2016.0
14,Villanova (Big East),5,4-1,84,266,0.316,03/14/2016,2016.0
15,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/14/2016,2016.0
16,Providence (Big East),6,3-3,61,196,0.311,03/14/2016,2016.0
17,Army West Point (Patriot),7,5-2,93,301,0.309,03/14/2016,2016.0
18,Johns Hopkins (Big Ten),5,3-2,62,201,0.308,03/14/2016,2016.0
19,Bucknell (Patriot),6,4-2,71,231,0.307,03/14/2016,2016.0
20,Penn (Ivy League),5,3-2,53,173,0.306,03/14/2016,2016.0
21,Rutgers (Big Ten),7,5-2,84,275,0.305,03/14/2016,2016.0
22,Air Force (SoCon),7,5-2,69,226,0.305,03/14/2016,2016.0
23,Vermont (America East),7,3-4,85,279,0.305,03/14/2016,2016.0
24,Ohio St. (Big Ten),7,5-2,71,239,0.297,03/14/2016,2016.0
25,Boston U. (Patriot),7,6-1,71,240,0.296,03/14/2016,2016.0
26,Jacksonville (SoCon),6,2-4,50,170,0.294,03/14/2016,2016.0
27,Notre Dame (ACC),5,4-1,54,184,0.293,03/14/2016,2016.0
28,High Point (SoCon),7,4-3,77,263,0.293,03/14/2016,2016.0
29,Drexel (CAA),6,2-4,62,214,0.290,03/14/2016,2016.0
30,Monmouth (MAAC),5,3-2,45,156,0.288,03/14/2016,2016.0
31,Massachusetts (CAA),7,3-4,66,232,0.284,03/14/2016,2016.0
32,Yale (Ivy League),5,5-0,62,218,0.284,03/14/2016,2016.0
33,Hofstra (CAA),5,4-1,54,192,0.281,03/14/2016,2016.0
34,Robert Morris (NEC),7,2-5,72,257,0.280,03/14/2016,2016.0
35,Hartford (America East),5,2-3,56,200,0.280,03/14/2016,2016.0
36,Holy Cross (Patriot),7,0-7,65,233,0.279,03/14/2016,2016.0
37,Lafayette (Patriot),5,1-4,39,140,0.279,03/14/2016,2016.0
38,Maryland (Big Ten),5,3-2,53,191,0.277,03/14/2016,2016.0
39,UMBC (America East),4,1-3,27,98,0.276,03/14/2016,2016.0
40,Towson (CAA),6,5-1,62,227,0.273,03/14/2016,2016.0
41,Marist (MAAC),4,1-3,33,123,0.268,03/14/2016,2016.0
42,Fairfield (CAA),7,2-5,60,224,0.268,03/14/2016,2016.0
43,Bryant (NEC),7,4-3,75,281,0.267,03/14/2016,2016.0
44,Navy (Patriot),5,3-2,48,181,0.265,03/14/2016,2016.0
45,Bellarmine (SoCon),7,3-4,53,200,0.265,03/14/2016,2016.0
46,Hobart (NEC),6,3-3,60,229,0.262,03/14/2016,2016.0
47,Richmond (SoCon),7,6-1,64,247,0.259,03/14/2016,2016.0
48,Delaware (CAA),8,3-5,69,267,0.258,03/14/2016,2016.0
49,Mercer (SoCon),6,2-4,49,191,0.257,03/14/2016,2016.0
50,Marquette (Big East),5,4-1,47,184,0.255,03/14/2016,2016.0
51,St. John's (NY) (Big East),7,1-6,54,214,0.252,03/14/2016,2016.0
52,Virginia (ACC),7,3-4,76,302,0.252,03/14/2016,2016.0
53,Cornell (Ivy League),4,2-2,39,156,0.250,03/14/2016,2016.0
54,Wagner (NEC),7,4-3,65,261,0.249,03/14/2016,2016.0
55,Georgetown (Big East),6,1-5,51,205,0.249,03/14/2016,2016.0
56,Siena (MAAC),5,1-4,45,181,0.249,03/14/2016,2016.0
57,Sacred Heart (NEC),7,2-5,63,254,0.248,03/14/2016,2016.0
58,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/14/2016,2016.0
59,Furman (SoCon),6,0-6,39,158,0.247,03/14/2016,2016.0
60,Manhattan (MAAC),8,1-7,45,183,0.246,03/14/2016,2016.0
61,Quinnipiac (MAAC),4,3-1,39,160,0.244,03/14/2016,2016.0
62,Canisius (MAAC),2,1-1,19,78,0.244,03/14/2016,2016.0
63,Loyola Maryland (Patriot),6,4-2,56,236,0.237,03/14/2016,2016.0
64,Colgate (Patriot),6,3-3,52,221,0.235,03/14/2016,2016.0
65,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/14/2016,2016.0
66,Binghamton (America East),4,0-4,29,129,0.225,03/14/2016,2016.0
67,VMI (SoCon),7,1-6,38,173,0.220,03/14/2016,2016.0
68,NJIT (Independent),8,0-8,42,202,0.208,03/14/2016,2016.0
-,UMass Lowell (America East),6,1-5,46,182,0.253,03/14/2016,2016.0
1,Denver (Big East),6,6-0,80,207,0.386,03/13/2016,2016.0
2,Brown (Ivy League),5,5-0,93,242,0.384,03/13/2016,2016.0
3,Duke (ACC),8,5-3,113,305,0.370,03/13/2016,2016.0
4,Saint Joseph's (NEC),6,4-2,81,221,0.367,03/13/2016,2016.0
5,Penn St. (Big Ten),7,5-2,90,252,0.357,03/13/2016,2016.0
6,Lehigh (Patriot),6,4-2,81,227,0.357,03/13/2016,2016.0
7,Stony Brook (America East),5,4-1,69,196,0.352,03/13/2016,2016.0
8,UAlbany (America East),4,3-1,55,160,0.344,03/13/2016,2016.0
9,Harvard (Ivy League),6,4-2,69,205,0.337,03/13/2016,2016.0
10,Syracuse (ACC),5,5-0,72,215,0.335,03/13/2016,2016.0
11,Princeton (Ivy League),4,1-3,43,129,0.333,03/13/2016,2016.0
12,Rutgers (Big Ten),6,5-1,77,234,0.329,03/13/2016,2016.0
13,North Carolina (ACC),6,3-3,75,232,0.323,03/13/2016,2016.0
14,Michigan (Big Ten),6,3-3,62,194,0.320,03/13/2016,2016.0
15,Villanova (Big East),5,4-1,84,266,0.316,03/13/2016,2016.0
16,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/13/2016,2016.0
17,Providence (Big East),6,3-3,61,196,0.311,03/13/2016,2016.0
18,Army West Point (Patriot),7,5-2,93,301,0.309,03/13/2016,2016.0
19,Johns Hopkins (Big Ten),5,3-2,62,201,0.308,03/13/2016,2016.0
20,Bucknell (Patriot),6,4-2,71,231,0.307,03/13/2016,2016.0
21,Penn (Ivy League),5,3-2,53,173,0.306,03/13/2016,2016.0
22,Air Force (SoCon),7,5-2,69,226,0.305,03/13/2016,2016.0
23,Vermont (America East),7,3-4,85,279,0.305,03/13/2016,2016.0
24,Ohio St. (Big Ten),7,5-2,71,239,0.297,03/13/2016,2016.0
25,Boston U. (Patriot),7,6-1,71,240,0.296,03/13/2016,2016.0
26,Jacksonville (SoCon),6,2-4,50,170,0.294,03/13/2016,2016.0
27,Notre Dame (ACC),5,4-1,54,184,0.293,03/13/2016,2016.0
28,High Point (SoCon),7,4-3,77,263,0.293,03/13/2016,2016.0
29,Drexel (CAA),6,2-4,62,214,0.290,03/13/2016,2016.0
30,Monmouth (MAAC),5,3-2,45,156,0.288,03/13/2016,2016.0
31,Massachusetts (CAA),7,3-4,66,232,0.284,03/13/2016,2016.0
32,Yale (Ivy League),5,5-0,62,218,0.284,03/13/2016,2016.0
33,Hofstra (CAA),5,4-1,54,192,0.281,03/13/2016,2016.0
34,Robert Morris (NEC),7,2-5,72,257,0.280,03/13/2016,2016.0
35,Hartford (America East),5,2-3,56,200,0.280,03/13/2016,2016.0
36,Holy Cross (Patriot),7,0-7,65,233,0.279,03/13/2016,2016.0
37,Lafayette (Patriot),5,1-4,39,140,0.279,03/13/2016,2016.0
38,Maryland (Big Ten),5,3-2,53,191,0.277,03/13/2016,2016.0
39,UMBC (America East),4,1-3,27,98,0.276,03/13/2016,2016.0
40,Towson (CAA),6,5-1,62,227,0.273,03/13/2016,2016.0
41,Marist (MAAC),4,1-3,33,123,0.268,03/13/2016,2016.0
42,Fairfield (CAA),7,2-5,60,224,0.268,03/13/2016,2016.0
43,Bryant (NEC),7,4-3,75,281,0.267,03/13/2016,2016.0
44,Navy (Patriot),5,3-2,48,181,0.265,03/13/2016,2016.0
45,Bellarmine (SoCon),7,3-4,53,200,0.265,03/13/2016,2016.0
46,Hobart (NEC),6,3-3,60,229,0.262,03/13/2016,2016.0
47,Richmond (SoCon),7,6-1,64,247,0.259,03/13/2016,2016.0
48,Delaware (CAA),8,3-5,69,267,0.258,03/13/2016,2016.0
49,Mercer (SoCon),6,2-4,49,191,0.257,03/13/2016,2016.0
50,Marquette (Big East),5,4-1,47,184,0.255,03/13/2016,2016.0
51,Manhattan (MAAC),7,1-6,43,169,0.254,03/13/2016,2016.0
52,St. John's (NY) (Big East),7,1-6,54,214,0.252,03/13/2016,2016.0
53,Virginia (ACC),7,3-4,76,302,0.252,03/13/2016,2016.0
54,Cornell (Ivy League),4,2-2,39,156,0.250,03/13/2016,2016.0
55,Wagner (NEC),7,4-3,65,261,0.249,03/13/2016,2016.0
56,Georgetown (Big East),6,1-5,51,205,0.249,03/13/2016,2016.0
57,Siena (MAAC),5,1-4,45,181,0.249,03/13/2016,2016.0
58,Sacred Heart (NEC),7,2-5,63,254,0.248,03/13/2016,2016.0
59,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/13/2016,2016.0
60,Furman (SoCon),6,0-6,39,158,0.247,03/13/2016,2016.0
61,Quinnipiac (MAAC),4,3-1,39,160,0.244,03/13/2016,2016.0
62,Canisius (MAAC),2,1-1,19,78,0.244,03/13/2016,2016.0
63,Loyola Maryland (Patriot),6,4-2,56,236,0.237,03/13/2016,2016.0
64,Colgate (Patriot),6,3-3,52,221,0.235,03/13/2016,2016.0
65,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/13/2016,2016.0
66,Binghamton (America East),4,0-4,29,129,0.225,03/13/2016,2016.0
67,VMI (SoCon),7,1-6,38,173,0.220,03/13/2016,2016.0
68,NJIT (Independent),8,0-8,42,202,0.208,03/13/2016,2016.0
-,UMass Lowell (America East),6,1-5,46,182,0.253,03/13/2016,2016.0
1,Denver (Big East),5,5-0,71,178,0.399,03/12/2016,2016.0
2,Brown (Ivy League),5,5-0,93,242,0.384,03/12/2016,2016.0
3,Duke (ACC),8,5-3,113,305,0.370,03/12/2016,2016.0
4,Saint Joseph's (NEC),6,4-2,81,221,0.367,03/12/2016,2016.0
5,Penn St. (Big Ten),7,5-2,90,252,0.357,03/12/2016,2016.0
6,Lehigh (Patriot),6,4-2,81,227,0.357,03/12/2016,2016.0
7,Stony Brook (America East),5,4-1,69,196,0.352,03/12/2016,2016.0
8,UAlbany (America East),4,3-1,55,160,0.344,03/12/2016,2016.0
9,Harvard (Ivy League),6,4-2,69,205,0.337,03/12/2016,2016.0
10,Syracuse (ACC),5,5-0,72,215,0.335,03/12/2016,2016.0
11,Princeton (Ivy League),4,1-3,43,129,0.333,03/12/2016,2016.0
12,Rutgers (Big Ten),6,5-1,77,234,0.329,03/12/2016,2016.0
13,North Carolina (ACC),6,3-3,75,232,0.323,03/12/2016,2016.0
14,Michigan (Big Ten),6,3-3,62,194,0.320,03/12/2016,2016.0
15,Villanova (Big East),5,4-1,84,266,0.316,03/12/2016,2016.0
16,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/12/2016,2016.0
17,Providence (Big East),6,3-3,61,196,0.311,03/12/2016,2016.0
18,Johns Hopkins (Big Ten),5,3-2,62,201,0.308,03/12/2016,2016.0
19,Bucknell (Patriot),6,4-2,71,231,0.307,03/12/2016,2016.0
20,Penn (Ivy League),5,3-2,53,173,0.306,03/12/2016,2016.0
21,Air Force (SoCon),7,5-2,69,226,0.305,03/12/2016,2016.0
22,Vermont (America East),7,3-4,85,279,0.305,03/12/2016,2016.0
23,Notre Dame (ACC),4,4-0,46,153,0.301,03/12/2016,2016.0
24,Army West Point (Patriot),6,4-2,77,257,0.300,03/12/2016,2016.0
25,Ohio St. (Big Ten),7,5-2,71,239,0.297,03/12/2016,2016.0
26,Boston U. (Patriot),7,6-1,71,240,0.296,03/12/2016,2016.0
27,Jacksonville (SoCon),6,2-4,50,170,0.294,03/12/2016,2016.0
28,High Point (SoCon),7,4-3,77,263,0.293,03/12/2016,2016.0
29,Drexel (CAA),6,2-4,62,214,0.290,03/12/2016,2016.0
30,Monmouth (MAAC),5,3-2,45,156,0.288,03/12/2016,2016.0
31,Massachusetts (CAA),7,3-4,66,232,0.284,03/12/2016,2016.0
32,Yale (Ivy League),5,5-0,62,218,0.284,03/12/2016,2016.0
33,Hofstra (CAA),5,4-1,54,192,0.281,03/12/2016,2016.0
34,Robert Morris (NEC),7,2-5,72,257,0.280,03/12/2016,2016.0
35,Hartford (America East),5,2-3,56,200,0.280,03/12/2016,2016.0
36,Holy Cross (Patriot),7,0-7,65,233,0.279,03/12/2016,2016.0
37,Lafayette (Patriot),5,1-4,39,140,0.279,03/12/2016,2016.0
38,Maryland (Big Ten),5,3-2,53,191,0.277,03/12/2016,2016.0
39,UMBC (America East),4,1-3,27,98,0.276,03/12/2016,2016.0
40,Towson (CAA),6,5-1,62,227,0.273,03/12/2016,2016.0
41,Marist (MAAC),4,1-3,33,123,0.268,03/12/2016,2016.0
42,Fairfield (CAA),7,2-5,60,224,0.268,03/12/2016,2016.0
43,Bryant (NEC),7,4-3,75,281,0.267,03/12/2016,2016.0
44,Navy (Patriot),5,3-2,48,181,0.265,03/12/2016,2016.0
45,Bellarmine (SoCon),7,3-4,53,200,0.265,03/12/2016,2016.0
46,Hobart (NEC),6,3-3,60,229,0.262,03/12/2016,2016.0
47,Richmond (SoCon),7,6-1,64,247,0.259,03/12/2016,2016.0
48,Delaware (CAA),8,3-5,69,267,0.258,03/12/2016,2016.0
49,Mercer (SoCon),6,2-4,49,191,0.257,03/12/2016,2016.0
50,Marquette (Big East),5,4-1,47,184,0.255,03/12/2016,2016.0
51,Manhattan (MAAC),7,1-6,43,169,0.254,03/12/2016,2016.0
52,St. John's (NY) (Big East),7,1-6,54,214,0.252,03/12/2016,2016.0
53,Virginia (ACC),7,3-4,76,302,0.252,03/12/2016,2016.0
54,Cornell (Ivy League),4,2-2,39,156,0.250,03/12/2016,2016.0
55,Wagner (NEC),7,4-3,65,261,0.249,03/12/2016,2016.0
56,Georgetown (Big East),6,1-5,51,205,0.249,03/12/2016,2016.0
57,Siena (MAAC),5,1-4,45,181,0.249,03/12/2016,2016.0
58,Sacred Heart (NEC),7,2-5,63,254,0.248,03/12/2016,2016.0
59,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/12/2016,2016.0
60,Furman (SoCon),6,0-6,39,158,0.247,03/12/2016,2016.0
61,Quinnipiac (MAAC),4,3-1,39,160,0.244,03/12/2016,2016.0
62,Canisius (MAAC),2,1-1,19,78,0.244,03/12/2016,2016.0
63,Loyola Maryland (Patriot),6,4-2,56,236,0.237,03/12/2016,2016.0
64,Colgate (Patriot),6,3-3,52,221,0.235,03/12/2016,2016.0
65,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/12/2016,2016.0
66,Binghamton (America East),4,0-4,29,129,0.225,03/12/2016,2016.0
67,VMI (SoCon),7,1-6,38,173,0.220,03/12/2016,2016.0
68,NJIT (Independent),7,0-7,36,176,0.205,03/12/2016,2016.0
-,UMass Lowell (America East),6,1-5,46,182,0.253,03/12/2016,2016.0
1,Denver (Big East),5,5-0,71,178,0.399,03/11/2016,2016.0
2,Brown (Ivy League),4,4-0,71,184,0.386,03/11/2016,2016.0
3,Princeton (Ivy League),3,1-2,38,101,0.376,03/11/2016,2016.0
4,Duke (ACC),7,4-3,98,262,0.374,03/11/2016,2016.0
5,Syracuse (ACC),4,4-0,57,161,0.354,03/11/2016,2016.0
6,Stony Brook (America East),5,4-1,69,196,0.352,03/11/2016,2016.0
7,Penn St. (Big Ten),6,4-2,77,219,0.352,03/11/2016,2016.0
8,North Carolina (ACC),5,3-2,66,188,0.351,03/11/2016,2016.0
9,Saint Joseph's (NEC),5,3-2,63,180,0.350,03/11/2016,2016.0
10,Lehigh (Patriot),5,4-1,71,203,0.350,03/11/2016,2016.0
11,UAlbany (America East),4,3-1,55,160,0.344,03/11/2016,2016.0
12,Harvard (Ivy League),5,4-1,57,169,0.337,03/11/2016,2016.0
13,Rutgers (Big Ten),6,5-1,77,234,0.329,03/11/2016,2016.0
14,Michigan (Big Ten),5,3-2,54,168,0.321,03/11/2016,2016.0
15,Villanova (Big East),4,3-1,68,212,0.321,03/11/2016,2016.0
16,Providence (Big East),5,3-2,49,156,0.314,03/11/2016,2016.0
17,Ohio St. (Big Ten),6,5-1,66,211,0.313,03/11/2016,2016.0
18,Penn (Ivy League),4,3-1,45,146,0.308,03/11/2016,2016.0
19,Vermont (America East),6,2-4,76,248,0.306,03/11/2016,2016.0
20,UMBC (America East),3,0-3,18,59,0.305,03/11/2016,2016.0
21,Notre Dame (ACC),4,4-0,46,153,0.301,03/11/2016,2016.0
22,Mount St. Mary's (NEC),5,3-2,46,155,0.297,03/11/2016,2016.0
23,Johns Hopkins (Big Ten),4,2-2,48,162,0.296,03/11/2016,2016.0
24,Hofstra (CAA),4,3-1,46,156,0.295,03/11/2016,2016.0
25,Jacksonville (SoCon),5,2-3,44,151,0.291,03/11/2016,2016.0
26,Boston U. (Patriot),6,5-1,60,206,0.291,03/11/2016,2016.0
27,Hartford (America East),4,2-2,46,158,0.291,03/11/2016,2016.0
28,Yale (Ivy League),4,4-0,52,179,0.291,03/11/2016,2016.0
29,Robert Morris (NEC),6,2-4,67,232,0.289,03/11/2016,2016.0
30,Fairfield (CAA),6,2-4,55,191,0.288,03/11/2016,2016.0
31,Army West Point (Patriot),5,3-2,64,223,0.287,03/11/2016,2016.0
32,High Point (SoCon),6,3-3,64,225,0.284,03/11/2016,2016.0
33,Monmouth (MAAC),4,3-1,37,131,0.282,03/11/2016,2016.0
34,Air Force (SoCon),6,4-2,55,195,0.282,03/11/2016,2016.0
35,Bucknell (Patriot),5,3-2,53,188,0.282,03/11/2016,2016.0
36,Lafayette (Patriot),5,1-4,39,140,0.279,03/11/2016,2016.0
37,Bryant (NEC),6,4-2,70,256,0.273,03/11/2016,2016.0
38,Drexel (CAA),5,1-4,48,176,0.273,03/11/2016,2016.0
39,Holy Cross (Patriot),6,0-6,53,195,0.272,03/11/2016,2016.0
40,Furman (SoCon),5,0-5,35,129,0.271,03/11/2016,2016.0
41,Towson (CAA),5,5-0,54,201,0.269,03/11/2016,2016.0
42,Navy (Patriot),5,3-2,48,181,0.265,03/11/2016,2016.0
43,Hobart (NEC),5,2-3,50,189,0.265,03/11/2016,2016.0
44,Massachusetts (CAA),6,2-4,52,197,0.264,03/11/2016,2016.0
45,Mercer (SoCon),5,2-3,42,160,0.263,03/11/2016,2016.0
46,Marist (MAAC),3,1-2,25,97,0.258,03/11/2016,2016.0
47,Sacred Heart (NEC),6,2-4,55,215,0.256,03/11/2016,2016.0
48,Delaware (CAA),7,2-5,57,224,0.254,03/11/2016,2016.0
49,Virginia (ACC),6,3-3,66,260,0.254,03/11/2016,2016.0
50,Richmond (SoCon),6,5-1,52,205,0.254,03/11/2016,2016.0
51,St. John's (NY) (Big East),6,1-5,50,199,0.251,03/11/2016,2016.0
52,Loyola Maryland (Patriot),5,4-1,50,200,0.250,03/11/2016,2016.0
53,Wagner (NEC),7,4-3,65,261,0.249,03/11/2016,2016.0
54,Siena (MAAC),5,1-4,45,181,0.249,03/11/2016,2016.0
55,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/11/2016,2016.0
56,Bellarmine (SoCon),6,2-4,42,170,0.247,03/11/2016,2016.0
57,Manhattan (MAAC),6,0-6,35,142,0.246,03/11/2016,2016.0
58,Canisius (MAAC),2,1-1,19,78,0.244,03/11/2016,2016.0
59,Colgate (Patriot),5,3-2,46,190,0.242,03/11/2016,2016.0
60,VMI (SoCon),6,1-5,36,150,0.240,03/11/2016,2016.0
61,Maryland (Big Ten),4,2-2,36,152,0.237,03/11/2016,2016.0
62,Quinnipiac (MAAC),3,2-1,28,120,0.233,03/11/2016,2016.0
62,Georgetown (Big East),5,1-4,42,180,0.233,03/11/2016,2016.0
64,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/11/2016,2016.0
65,Marquette (Big East),4,3-1,34,151,0.225,03/11/2016,2016.0
66,Cornell (Ivy League),3,1-2,25,122,0.205,03/11/2016,2016.0
67,NJIT (Independent),7,0-7,36,176,0.205,03/11/2016,2016.0
68,Binghamton (America East),3,0-3,18,98,0.184,03/11/2016,2016.0
-,UMass Lowell (America East),5,1-4,41,148,0.277,03/11/2016,2016.0
1,Denver (Big East),5,5-0,71,178,0.399,02/01/2016 - 03/10/2016,2016.0
2,Brown (Ivy League),4,4-0,71,184,0.386,02/01/2016 - 03/10/2016,2016.0
3,Princeton (Ivy League),3,1-2,38,101,0.376,02/01/2016 - 03/10/2016,2016.0
4,Duke (ACC),7,4-3,98,262,0.374,02/01/2016 - 03/10/2016,2016.0
5,Rutgers (Big Ten),5,5-0,71,200,0.355,02/01/2016 - 03/10/2016,2016.0
6,Syracuse (ACC),4,4-0,57,161,0.354,02/01/2016 - 03/10/2016,2016.0
7,Penn St. (Big Ten),6,4-2,77,219,0.352,02/01/2016 - 03/10/2016,2016.0
8,North Carolina (ACC),5,3-2,66,188,0.351,02/01/2016 - 03/10/2016,2016.0
9,Saint Joseph's (NEC),5,3-2,63,180,0.350,02/01/2016 - 03/10/2016,2016.0
10,Lehigh (Patriot),5,4-1,71,203,0.350,02/01/2016 - 03/10/2016,2016.0
11,Stony Brook (America East),4,3-1,54,156,0.346,02/01/2016 - 03/10/2016,2016.0
12,UAlbany (America East),4,3-1,55,160,0.344,02/01/2016 - 03/10/2016,2016.0
13,Harvard (Ivy League),5,4-1,57,169,0.337,02/01/2016 - 03/10/2016,2016.0
14,Michigan (Big Ten),5,3-2,54,168,0.321,02/01/2016 - 03/10/2016,2016.0
15,Villanova (Big East),4,3-1,68,212,0.321,02/01/2016 - 03/10/2016,2016.0
16,Providence (Big East),5,3-2,49,156,0.314,02/01/2016 - 03/10/2016,2016.0
17,Ohio St. (Big Ten),6,5-1,66,211,0.313,02/01/2016 - 03/10/2016,2016.0
18,Penn (Ivy League),4,3-1,45,146,0.308,02/01/2016 - 03/10/2016,2016.0
19,Vermont (America East),6,2-4,76,248,0.306,02/01/2016 - 03/10/2016,2016.0
20,UMBC (America East),3,0-3,18,59,0.305,02/01/2016 - 03/10/2016,2016.0
21,Notre Dame (ACC),4,4-0,46,153,0.301,02/01/2016 - 03/10/2016,2016.0
22,Mount St. Mary's (NEC),5,3-2,46,155,0.297,02/01/2016 - 03/10/2016,2016.0
23,Johns Hopkins (Big Ten),4,2-2,48,162,0.296,02/01/2016 - 03/10/2016,2016.0
24,Hofstra (CAA),4,3-1,46,156,0.295,02/01/2016 - 03/10/2016,2016.0
25,Jacksonville (SoCon),5,2-3,44,151,0.291,02/01/2016 - 03/10/2016,2016.0
26,Boston U. (Patriot),6,5-1,60,206,0.291,02/01/2016 - 03/10/2016,2016.0
27,Hartford (America East),4,2-2,46,158,0.291,02/01/2016 - 03/10/2016,2016.0
28,Yale (Ivy League),4,4-0,52,179,0.291,02/01/2016 - 03/10/2016,2016.0
29,Robert Morris (NEC),6,2-4,67,232,0.289,02/01/2016 - 03/10/2016,2016.0
30,Fairfield (CAA),6,2-4,55,191,0.288,02/01/2016 - 03/10/2016,2016.0
31,Army West Point (Patriot),5,3-2,64,223,0.287,02/01/2016 - 03/10/2016,2016.0
32,High Point (SoCon),6,3-3,64,225,0.284,02/01/2016 - 03/10/2016,2016.0
33,Monmouth (MAAC),4,3-1,37,131,0.282,02/01/2016 - 03/10/2016,2016.0
34,Air Force (SoCon),6,4-2,55,195,0.282,02/01/2016 - 03/10/2016,2016.0
35,Bucknell (Patriot),5,3-2,53,188,0.282,02/01/2016 - 03/10/2016,2016.0
36,Lafayette (Patriot),5,1-4,39,140,0.279,02/01/2016 - 03/10/2016,2016.0
37,Bryant (NEC),6,4-2,70,256,0.273,02/01/2016 - 03/10/2016,2016.0
