Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
57,Towson (CAA),18,12-6,154,632,0.244,05/10/2015,2015.0
58,Villanova (Big East),14,6-8,131,540,0.243,05/10/2015,2015.0
59,Canisius (MAAC),15,3-12,118,489,0.241,05/10/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/10/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/10/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/10/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/10/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/10/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/10/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/10/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/10/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/10/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/10/2015,2015.0
