Date,Team,Shot Percent
2015-05-06,Maryland,0.265
2015-05-06,Boston U.,0.263
2015-05-06,Lafayette,0.262
2015-05-06,Robert Morris,0.262
2015-05-06,Hofstra,0.255
2015-05-06,Providence,0.254
2015-05-06,Siena,0.248
2015-05-06,Villanova,0.243
2015-05-06,Canisius,0.241
2015-05-06,Towson,0.241
2015-05-06,Wagner,0.227
2015-05-06,Mount St. Mary's,0.227
2015-05-06,Drexel,0.225
2015-05-06,Monmouth,0.213
2015-05-06,Furman,0.211
2015-05-06,Mercer,0.205
2015-05-06,VMI,0.185
2015-05-06,Manhattan,0.176
2015-05-06,NJIT,0.172
2015-05-06,UMass Lowell,0.222
2015-05-03,Stony Brook,0.402
2015-05-03,UAlbany,0.369
2015-05-03,Denver,0.358
2015-05-03,Colgate,0.355
2015-05-03,Notre Dame,0.353
2015-05-03,Princeton,0.344
2015-05-03,Virginia,0.34
2015-05-03,Syracuse,0.338
2015-05-03,North Carolina,0.332
2015-05-03,Yale,0.33
2015-05-03,Marist,0.326
2015-05-03,Duke,0.323
2015-05-03,Johns Hopkins,0.321
2015-05-03,Harvard,0.316
2015-05-03,Binghamton,0.308
2015-05-03,Army West Point,0.308
2015-05-03,Holy Cross,0.305
2015-05-03,High Point,0.305
2015-05-03,Richmond,0.303
2015-05-03,Marquette,0.302
2015-05-03,Brown,0.3
2015-05-03,Georgetown,0.299
2015-05-03,Massachusetts,0.296
2015-05-03,Lehigh,0.294
2015-05-03,Bellarmine,0.293
2015-05-03,Vermont,0.293
2015-05-03,Navy,0.29
2015-05-03,Ohio St.,0.289
2015-05-03,Hartford,0.287
2015-05-03,Detroit Mercy,0.286
2015-05-03,Quinnipiac,0.285
2015-05-03,Delaware,0.285
2015-05-03,Penn,0.281
2015-05-03,Fairfield,0.28
2015-05-03,Penn St.,0.279
2015-05-03,Rutgers,0.278
2015-05-03,Bucknell,0.277
2015-05-03,Dartmouth,0.277
2015-05-03,UMBC,0.276
2015-05-03,St. John's,0.274
2015-05-03,Jacksonville,0.274
2015-05-03,Loyola Maryland,0.273
2015-05-03,Bryant,0.272
2015-05-03,Air Force,0.271
2015-05-03,Saint Joseph's,0.27
2015-05-03,Hobart,0.268
2015-05-03,Sacred Heart,0.267
2015-05-03,Michigan,0.267
2015-05-03,Cornell,0.266
2015-05-03,Maryland,0.265
2015-05-03,Boston U.,0.263
2015-05-03,Lafayette,0.262
2015-05-03,Robert Morris,0.262
2015-05-03,Hofstra,0.255
2015-05-03,Providence,0.254
2015-05-03,Siena,0.248
2015-05-03,Villanova,0.243
2015-05-03,Canisius,0.241
2015-05-03,Towson,0.239
2015-05-03,Wagner,0.227
2015-05-03,Mount St. Mary's,0.227
2015-05-03,Drexel,0.225
2015-05-03,Monmouth,0.213
2015-05-03,Furman,0.211
2015-05-03,Mercer,0.205
2015-05-03,VMI,0.185
2015-05-03,Manhattan,0.176
2015-05-03,NJIT,0.172
2015-05-03,UMass Lowell,0.222
2015-05-02,Stony Brook,0.402
2015-05-02,UAlbany,0.369
2015-05-02,Denver,0.358
2015-05-02,Colgate,0.355
2015-05-02,Notre Dame,0.353
2015-05-02,Princeton,0.348
2015-05-02,Virginia,0.34
2015-05-02,Syracuse,0.338
2015-05-02,North Carolina,0.332
2015-05-02,Marist,0.326
2015-05-02,Duke,0.325
2015-05-02,Yale,0.323
2015-05-02,Johns Hopkins,0.321
2015-05-02,Harvard,0.316
2015-05-02,Binghamton,0.308
2015-05-02,Army West Point,0.308
2015-05-02,Holy Cross,0.305
2015-05-02,High Point,0.305
2015-05-02,Richmond,0.303
2015-05-02,Marquette,0.302
2015-05-02,Brown,0.3
2015-05-02,Georgetown,0.299
2015-05-02,Massachusetts,0.296
2015-05-02,Lehigh,0.294
2015-05-02,Bellarmine,0.293
2015-05-02,Vermont,0.293
2015-05-02,Navy,0.29
2015-05-02,Ohio St.,0.289
2015-05-02,Hartford,0.287
2015-05-02,Detroit Mercy,0.286
2015-05-02,Quinnipiac,0.285
2015-05-02,Delaware,0.285
2015-05-02,Penn,0.281
2015-05-02,Fairfield,0.28
2015-05-02,Penn St.,0.279
2015-05-02,Rutgers,0.278
2015-05-02,Bucknell,0.277
2015-05-02,Dartmouth,0.277
2015-05-02,UMBC,0.276
2015-05-02,St. John's,0.274
2015-05-02,Jacksonville,0.274
2015-05-02,Loyola Maryland,0.273
2015-05-02,Bryant,0.272
2015-05-02,Air Force,0.271
2015-05-02,Boston U.,0.27
2015-05-02,Saint Joseph's,0.27
2015-05-02,Hobart,0.268
2015-05-02,Sacred Heart,0.267
2015-05-02,Michigan,0.267
