Date,Team,Faceoff Percent
2015-05-03,Holy Cross,0.468
2015-05-03,VMI,0.466
2015-05-03,Virginia,0.466
2015-05-03,Delaware,0.462
2015-05-03,Lehigh,0.457
2015-05-03,Robert Morris,0.456
2015-05-03,Canisius,0.452
2015-05-03,St. John's,0.45
2015-05-03,Georgetown,0.449
2015-05-03,Detroit Mercy,0.447
2015-05-03,Michigan,0.446
2015-05-03,Princeton,0.441
2015-05-03,UMBC,0.437
2015-05-03,NJIT,0.433
2015-05-03,Marquette,0.432
2015-05-03,Bucknell,0.431
2015-05-03,Massachusetts,0.429
2015-05-03,Wagner,0.429
2015-05-03,Harvard,0.425
2015-05-03,Quinnipiac,0.424
2015-05-03,Furman,0.42
2015-05-03,Monmouth,0.402
2015-05-03,Manhattan,0.401
2015-05-03,Lafayette,0.39
2015-05-03,Hobart,0.387
2015-05-03,Providence,0.383
2015-05-03,Colgate,0.375
2015-05-03,UMass Lowell,0.216
2015-05-02,Denver,0.709
2015-05-02,Bryant,0.672
2015-05-02,Syracuse,0.66
2015-05-02,Cornell,0.648
2015-05-02,Rutgers,0.647
2015-05-02,Boston U.,0.641
2015-05-02,Hofstra,0.606
2015-05-02,Navy,0.6
2015-05-02,Ohio St.,0.59
2015-05-02,Brown,0.588
2015-05-02,Army West Point,0.57
2015-05-02,Duke,0.568
2015-05-02,High Point,0.563
2015-05-02,Fairfield,0.562
2015-05-02,Dartmouth,0.556
2015-05-02,Marist,0.556
2015-05-02,Loyola Maryland,0.552
2015-05-02,Drexel,0.54
2015-05-02,Johns Hopkins,0.536
2015-05-02,Hartford,0.534
2015-05-02,Stony Brook,0.531
2015-05-02,Binghamton,0.53
2015-05-02,Maryland,0.528
2015-05-02,Jacksonville,0.524
2015-05-02,Yale,0.522
2015-05-02,Towson,0.518
2015-05-02,Penn St.,0.517
2015-05-02,Sacred Heart,0.516
2015-05-02,Mercer,0.514
2015-05-02,Saint Joseph's,0.512
2015-05-02,Vermont,0.511
2015-05-02,Air Force,0.505
2015-05-02,Richmond,0.495
2015-05-02,Siena,0.485
2015-05-02,North Carolina,0.483
2015-05-02,Mount St. Mary's,0.48
2015-05-02,Bellarmine,0.478
2015-05-02,Notre Dame,0.478
2015-05-02,Villanova,0.477
2015-05-02,UAlbany,0.476
2015-05-02,Penn,0.476
2015-05-02,Holy Cross,0.468
2015-05-02,VMI,0.466
2015-05-02,Virginia,0.466
2015-05-02,Delaware,0.462
2015-05-02,Lehigh,0.457
2015-05-02,Robert Morris,0.456
2015-05-02,Canisius,0.452
2015-05-02,St. John's,0.45
2015-05-02,Georgetown,0.449
2015-05-02,Detroit Mercy,0.447
2015-05-02,Michigan,0.446
2015-05-02,Princeton,0.44
2015-05-02,UMBC,0.437
2015-05-02,NJIT,0.433
2015-05-02,Marquette,0.432
2015-05-02,Bucknell,0.431
2015-05-02,Massachusetts,0.429
2015-05-02,Wagner,0.429
2015-05-02,Harvard,0.425
2015-05-02,Quinnipiac,0.424
2015-05-02,Furman,0.42
2015-05-02,Monmouth,0.402
2015-05-02,Manhattan,0.401
2015-05-02,Lafayette,0.39
2015-05-02,Hobart,0.387
2015-05-02,Providence,0.383
2015-05-02,Colgate,0.375
2015-05-02,UMass Lowell,0.216
2015-05-01,Denver,0.705
2015-05-01,Bryant,0.66
2015-05-01,Cornell,0.648
2015-05-01,Rutgers,0.647
2015-05-01,Syracuse,0.647
2015-05-01,Boston U.,0.641
2015-05-01,Navy,0.606
2015-05-01,Hofstra,0.606
2015-05-01,Ohio St.,0.595
2015-05-01,Brown,0.588
2015-05-01,High Point,0.575
2015-05-01,Army West Point,0.57
2015-05-01,Duke,0.568
2015-05-01,Fairfield,0.562
2015-05-01,Dartmouth,0.556
2015-05-01,Marist,0.553
2015-05-01,Loyola Maryland,0.552
2015-05-01,Stony Brook,0.54
2015-05-01,Drexel,0.54
2015-05-01,Johns Hopkins,0.54
2015-05-01,Hartford,0.534
2015-05-01,Saint Joseph's,0.532
2015-05-01,Binghamton,0.53
2015-05-01,Maryland,0.528
2015-05-01,Jacksonville,0.524
2015-05-01,Yale,0.522
2015-05-01,Penn St.,0.517
2015-05-01,Sacred Heart,0.516
2015-05-01,Mercer,0.514
2015-05-01,Vermont,0.511
2015-05-01,Towson,0.505
2015-05-01,Air Force,0.505
2015-05-01,Richmond,0.485
2015-05-01,Siena,0.485
2015-05-01,North Carolina,0.483
2015-05-01,Notre Dame,0.482
2015-05-01,Mount St. Mary's,0.48
2015-05-01,Bellarmine,0.478
2015-05-01,Villanova,0.477
2015-05-01,Penn,0.476
2015-05-01,Holy Cross,0.468
2015-05-01,UAlbany,0.467
2015-05-01,VMI,0.466
2015-05-01,Virginia,0.466
2015-05-01,Georgetown,0.463
2015-05-01,Delaware,0.462
2015-05-01,Lehigh,0.457
2015-05-01,Robert Morris,0.456
2015-05-01,Canisius,0.452
2015-05-01,St. John's,0.45
2015-05-01,Detroit Mercy,0.447
2015-05-01,Michigan,0.446
2015-05-01,Princeton,0.44
2015-05-01,UMBC,0.437
2015-05-01,Massachusetts,0.436
2015-05-01,NJIT,0.433
2015-05-01,Marquette,0.432
2015-05-01,Bucknell,0.431
2015-05-01,Wagner,0.429
2015-05-01,Quinnipiac,0.426
2015-05-01,Harvard,0.425
2015-05-01,Furman,0.42
2015-05-01,Monmouth,0.402
2015-05-01,Manhattan,0.401
2015-05-01,Colgate,0.393
2015-05-01,Lafayette,0.39
2015-05-01,Hobart,0.387
2015-05-01,Providence,0.383
2015-05-01,UMass Lowell,0.216
2015-04-30,Denver,0.705
2015-04-30,Bryant,0.66
2015-04-30,Cornell,0.652
2015-04-30,Rutgers,0.647
2015-04-30,Syracuse,0.647
2015-04-30,Boston U.,0.641
2015-04-30,Navy,0.606
2015-04-30,Hofstra,0.606
2015-04-30,Ohio St.,0.595
2015-04-30,Brown,0.578
2015-04-30,High Point,0.575
2015-04-30,Army West Point,0.57
2015-04-30,Duke,0.568
2015-04-30,Fairfield,0.562
2015-04-30,Dartmouth,0.556
2015-04-30,Marist,0.553
2015-04-30,Loyola Maryland,0.552
2015-04-30,Yale,0.543
2015-04-30,Stony Brook,0.54
2015-04-30,Drexel,0.54
2015-04-30,Johns Hopkins,0.54
2015-04-30,Hartford,0.534
2015-04-30,Saint Joseph's,0.532
2015-04-30,Binghamton,0.53
2015-04-30,Maryland,0.528
2015-04-30,Jacksonville,0.524
2015-04-30,Penn St.,0.517
2015-04-30,Sacred Heart,0.516
2015-04-30,Mercer,0.514
2015-04-30,Vermont,0.511
2015-04-30,Towson,0.505
2015-04-30,Air Force,0.505
2015-04-30,Richmond,0.485
2015-04-30,Siena,0.485
2015-04-30,North Carolina,0.483
2015-04-30,Notre Dame,0.482
2015-04-30,Mount St. Mary's,0.48
2015-04-30,Bellarmine,0.478
2015-04-30,Villanova,0.477
2015-04-30,Penn,0.476
2015-04-30,Holy Cross,0.468
2015-04-30,UAlbany,0.467
2015-04-30,VMI,0.466
2015-04-30,Virginia,0.466
2015-04-30,Georgetown,0.463
2015-04-30,Delaware,0.462
2015-04-30,Lehigh,0.457
2015-04-30,Robert Morris,0.456
2015-04-30,Canisius,0.452
2015-04-30,St. John's,0.45
2015-04-30,Detroit Mercy,0.447
2015-04-30,Michigan,0.446
2015-04-30,Princeton,0.441
2015-04-30,UMBC,0.437
2015-04-30,Massachusetts,0.436
2015-04-30,NJIT,0.433
2015-04-30,Marquette,0.432
2015-04-30,Bucknell,0.431
2015-04-30,Wagner,0.429
2015-04-30,Quinnipiac,0.426
2015-04-30,Harvard,0.425
2015-04-30,Furman,0.42
2015-04-30,Monmouth,0.402
2015-04-30,Manhattan,0.401
2015-04-30,Colgate,0.393
2015-04-30,Lafayette,0.39
2015-04-30,Hobart,0.387
2015-04-30,Providence,0.383
2015-04-30,UMass Lowell,0.216
2015-04-26,Denver,0.705
2015-04-26,Cornell,0.652
2015-04-26,Bryant,0.652
2015-04-26,Rutgers,0.647
2015-04-26,Syracuse,0.647
2015-04-26,Boston U.,0.641
2015-04-26,Navy,0.606
2015-04-26,Hofstra,0.606
2015-04-26,Ohio St.,0.592
2015-04-26,High Point,0.583
2015-04-26,Brown,0.578
2015-04-26,Army West Point,0.57
2015-04-26,Duke,0.568
2015-04-26,Fairfield,0.557
2015-04-26,Dartmouth,0.556
2015-04-26,Loyola Maryland,0.552
2015-04-26,Drexel,0.549
2015-04-26,Marist,0.548
2015-04-26,Johns Hopkins,0.544
2015-04-26,Yale,0.543
2015-04-26,Hartford,0.542
2015-04-26,Maryland,0.538
2015-04-26,Saint Joseph's,0.537
2015-04-26,Stony Brook,0.533
2015-04-26,Binghamton,0.53
2015-04-26,Jacksonville,0.524
2015-04-26,Vermont,0.522
2015-04-26,Penn St.,0.517
2015-04-26,Sacred Heart,0.516
2015-04-26,Mercer,0.509
2015-04-26,Air Force,0.505
2015-04-26,Towson,0.498
2015-04-26,Villanova,0.495
