Date,Team,Saves per Game
2015-04-26,Jacksonville,13.25
2015-04-26,Harvard,13.21
2015-04-26,High Point,13.0
2015-04-26,Hobart,12.69
2015-04-26,Brown,12.4
2015-04-26,Penn St.,12.23
2015-04-26,Monmouth,12.0
2015-04-26,UAlbany,11.93
2015-04-26,Furman,11.83
2015-04-26,Manhattan,11.67
2015-04-26,Quinnipiac,11.62
2015-04-26,Hartford,11.57
2015-04-26,Siena,11.57
2015-04-26,Delaware,11.53
2015-04-26,Boston U.,11.46
2015-04-26,VMI,11.4
2015-04-26,North Carolina,11.33
2015-04-26,NJIT,11.33
2015-04-26,UMBC,11.31
2015-04-26,Princeton,11.15
2015-04-26,Sacred Heart,11.15
2015-04-26,Lafayette,11.07
2015-04-26,Bryant,11.0
2015-04-26,Mount St. Mary's,11.0
2015-04-26,Richmond,10.93
2015-04-26,Duke,10.88
2015-04-26,Marquette,10.87
2015-04-26,Marist,10.86
2015-04-26,Penn,10.85
2015-04-26,Bellarmine,10.83
2015-04-26,Robert Morris,10.79
2015-04-26,Massachusetts,10.69
2015-04-26,Fairfield,10.64
2015-04-26,Notre Dame,10.64
2015-04-26,Syracuse,10.54
2015-04-26,Loyola Maryland,10.47
2015-04-26,Villanova,10.46
2015-04-26,St. John's,10.43
2015-04-26,Towson,10.21
2015-04-26,Dartmouth,10.15
2015-04-26,Maryland,10.14
2015-04-26,Canisius,10.13
2015-04-26,Lehigh,10.0
2015-04-26,Binghamton,9.92
2015-04-26,Bucknell,9.8
2015-04-26,Ohio St.,9.73
2015-04-26,Air Force,9.64
2015-04-26,Drexel,9.5
2015-04-26,Saint Joseph's,9.47
2015-04-26,Holy Cross,9.46
2015-04-26,Wagner,9.31
2015-04-26,Navy,9.23
2015-04-26,Colgate,9.14
2015-04-26,Denver,9.08
2015-04-26,Rutgers,9.0
2015-04-26,Johns Hopkins,8.69
2015-04-26,Army West Point,8.69
2015-04-26,Cornell,8.5
2015-04-26,Yale,8.23
2015-04-26,Hofstra,8.14
2015-04-26,Stony Brook,8.13
2015-04-26,UMass Lowell,13.0
2015-04-25,Detroit Mercy,15.46
2015-04-25,Providence,13.93
2015-04-25,Vermont,13.67
2015-04-25,Georgetown,13.64
