Date,Team,Groundballs per Game
2015-05-01,Saint Joseph's,31.0
2015-05-01,Loyola Maryland,31.0
2015-05-01,Harvard,30.93
2015-05-01,Denver,30.71
2015-05-01,Bryant,30.63
2015-05-01,Notre Dame,30.36
2015-05-01,St. John's,30.21
2015-05-01,High Point,30.2
2015-05-01,Marist,29.67
2015-05-01,Johns Hopkins,29.64
2015-05-01,Lehigh,29.44
2015-05-01,Siena,29.36
2015-05-01,Penn,28.92
2015-05-01,Quinnipiac,28.79
2015-05-01,Ohio St.,28.69
2015-05-01,Army West Point,28.63
2015-05-01,Fairfield,28.47
2015-05-01,Detroit Mercy,28.21
2015-05-01,Yale,28.21
2015-05-01,Sacred Heart,28.15
2015-05-01,Hofstra,27.86
2015-05-01,Drexel,27.73
2015-05-01,Michigan,27.62
2015-05-01,Penn St.,27.57
2015-05-01,Massachusetts,27.36
2015-05-01,Mercer,27.08
2015-05-01,Princeton,27.07
2015-05-01,Lafayette,26.79
2015-05-01,VMI,26.73
2015-05-01,Towson,26.73
2015-05-01,Bellarmine,26.67
2015-05-01,Maryland,26.67
2015-05-01,Robert Morris,26.64
2015-05-01,Providence,26.64
2015-05-01,Bucknell,26.6
2015-05-01,Jacksonville,26.58
2015-05-01,Delaware,26.27
2015-05-01,Mount St. Mary's,26.2
2015-05-01,Air Force,26.07
2015-05-01,Colgate,25.93
2015-05-01,Binghamton,25.85
2015-05-01,Holy Cross,25.69
2015-05-01,Canisius,25.27
2015-05-01,Marquette,24.88
2015-05-01,UMBC,24.54
2015-05-01,Monmouth,23.0
2015-05-01,NJIT,22.5
2015-05-01,Villanova,22.5
2015-05-01,Manhattan,22.47
2015-05-01,Wagner,22.31
2015-05-01,Hobart,22.29
2015-05-01,Furman,21.69
2015-05-01,UMass Lowell,27.5
2015-04-30,UAlbany,39.94
2015-04-30,Brown,39.47
2015-04-30,North Carolina,38.13
2015-04-30,Duke,37.56
2015-04-30,Cornell,36.0
2015-04-30,Vermont,35.13
2015-04-30,Stony Brook,34.76
2015-04-30,Syracuse,34.15
2015-04-30,Rutgers,32.47
2015-04-30,Virginia,32.21
2015-04-30,Navy,32.0
2015-04-30,Hartford,31.93
2015-04-30,Dartmouth,31.85
2015-04-30,Richmond,31.67
2015-04-30,Georgetown,31.4
2015-04-30,Boston U.,31.15
2015-04-30,Saint Joseph's,31.0
2015-04-30,Loyola Maryland,31.0
2015-04-30,Harvard,30.93
2015-04-30,Denver,30.71
2015-04-30,Bryant,30.63
2015-04-30,Notre Dame,30.36
2015-04-30,St. John's,30.21
2015-04-30,High Point,30.2
2015-04-30,Marist,29.67
2015-04-30,Johns Hopkins,29.64
2015-04-30,Lehigh,29.44
2015-04-30,Siena,29.36
2015-04-30,Penn,28.92
2015-04-30,Quinnipiac,28.79
2015-04-30,Ohio St.,28.69
2015-04-30,Army West Point,28.63
2015-04-30,Fairfield,28.47
2015-04-30,Detroit Mercy,28.21
2015-04-30,Sacred Heart,28.15
2015-04-30,Yale,28.0
2015-04-30,Hofstra,27.86
2015-04-30,Drexel,27.73
2015-04-30,Michigan,27.62
2015-04-30,Penn St.,27.57
2015-04-30,Massachusetts,27.36
2015-04-30,Mercer,27.08
2015-04-30,Princeton,27.0
2015-04-30,Lafayette,26.79
2015-04-30,VMI,26.73
2015-04-30,Towson,26.73
2015-04-30,Bellarmine,26.67
2015-04-30,Maryland,26.67
2015-04-30,Providence,26.64
2015-04-30,Robert Morris,26.64
2015-04-30,Bucknell,26.6
2015-04-30,Jacksonville,26.58
2015-04-30,Delaware,26.27
2015-04-30,Mount St. Mary's,26.2
2015-04-30,Air Force,26.07
2015-04-30,Colgate,25.93
2015-04-30,Binghamton,25.85
2015-04-30,Holy Cross,25.69
2015-04-30,Canisius,25.27
2015-04-30,Marquette,24.88
2015-04-30,UMBC,24.54
2015-04-30,Monmouth,23.0
2015-04-30,NJIT,22.5
2015-04-30,Villanova,22.5
2015-04-30,Manhattan,22.47
2015-04-30,Wagner,22.31
2015-04-30,Hobart,22.29
2015-04-30,Furman,21.69
2015-04-30,UMass Lowell,27.5
2015-04-26,UAlbany,39.87
2015-04-26,Brown,39.47
2015-04-26,North Carolina,38.13
2015-04-26,Duke,37.56
2015-04-26,Cornell,36.0
2015-04-26,Vermont,35.47
2015-04-26,Syracuse,34.15
2015-04-26,Stony Brook,33.69
2015-04-26,Rutgers,32.47
2015-04-26,Virginia,32.21
2015-04-26,Navy,32.0
2015-04-26,Dartmouth,31.85
2015-04-26,Hartford,31.5
2015-04-26,Richmond,31.29
2015-04-26,Boston U.,31.15
2015-04-26,Georgetown,31.07
2015-04-26,Loyola Maryland,31.0
2015-04-26,Bryant,31.0
2015-04-26,Saint Joseph's,31.0
2015-04-26,Harvard,30.93
2015-04-26,High Point,30.86
2015-04-26,Denver,30.77
2015-04-26,Notre Dame,30.36
2015-04-26,St. John's,30.21
2015-04-26,Johns Hopkins,29.62
2015-04-26,Lehigh,29.44
2015-04-26,Siena,29.36
2015-04-26,Ohio St.,28.93
2015-04-26,Penn,28.92
2015-04-26,Marist,28.71
2015-04-26,Fairfield,28.64
2015-04-26,Army West Point,28.63
2015-04-26,Drexel,28.21
2015-04-26,Sacred Heart,28.15
2015-04-26,Quinnipiac,28.08
2015-04-26,Yale,28.0
2015-04-26,Hofstra,27.86
2015-04-26,Penn St.,27.85
2015-04-26,Massachusetts,27.77
2015-04-26,Detroit Mercy,27.69
2015-04-26,Michigan,27.62
2015-04-26,Maryland,27.43
2015-04-26,Mercer,27.0
2015-04-26,Princeton,27.0
2015-04-26,Lafayette,26.79
2015-04-26,VMI,26.73
2015-04-26,Bellarmine,26.67
2015-04-26,Robert Morris,26.64
2015-04-26,Providence,26.64
2015-04-26,Bucknell,26.6
2015-04-26,Jacksonville,26.58
2015-04-26,Towson,26.57
2015-04-26,Mount St. Mary's,26.5
2015-04-26,Delaware,26.27
2015-04-26,Air Force,26.07
2015-04-26,Colgate,25.93
2015-04-26,Binghamton,25.85
2015-04-26,Holy Cross,25.69
2015-04-26,Canisius,25.27
2015-04-26,Marquette,25.07
2015-04-26,UMBC,24.54
2015-04-26,Villanova,23.08
2015-04-26,Monmouth,22.77
2015-04-26,Hobart,22.69
2015-04-26,NJIT,22.5
2015-04-26,Manhattan,22.47
2015-04-26,Wagner,22.31
2015-04-26,Furman,21.67
2015-04-26,UMass Lowell,27.5
2015-04-25,UAlbany,39.87
2015-04-25,Brown,39.47
2015-04-25,North Carolina,38.13
2015-04-25,Duke,37.8
