Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-03-25,2017,Lafayette,7,Boston U.,15,Boston U.
2017-03-25,2017,Loyola Maryland,8,Bucknell,9,Bucknell
2017-03-25,2017,Brown,10,Massachusetts,9,Brown
2017-03-28,2017,Air Force,6,Marquette,7,Marquette
2017-03-28,2017,Mt. St. Mary's,14,VMI,8,Mt. St. Mary's
2017-03-28,2017,Binghamton,11,Canisius,7,Binghamton
2017-03-31,2017,Rutgers,6,Johns Hopkins,12,Johns Hopkins
2017-04-01,2017,Lafayette,8,Binghamton,14,Binghamton
2017-04-01,2017,Mass.-Lowell,6,UMBC,10,UMBC
2017-04-01,2017,Hofstra,10,Fairfield,6,Hofstra
2017-04-01,2017,Delaware,6,Massachusetts,9,Massachusetts
2017-04-01,2017,Towson,8,Drexel,7,Towson
2017-04-01,2017,Bryant,8,Wagner,1,Bryant
2017-04-01,2017,Sacred Heart,13,Mt. St. Mary's,5,Sacred Heart
2017-04-01,2017,Robert Morris,13,Saint Joseph's,7,Robert Morris
2017-04-01,2017,Monmouth,7,Marist,2,Monmouth
2017-04-01,2017,Detroit,10,Siena,6,Detroit
2017-04-01,2017,Quinnipiac,12,Manhattan,6,Quinnipiac
2017-04-01,2017,Virginia,8,Richmond,7,Virginia
2017-04-01,2017,Syracuse,11,Notre Dame,10,Syracuse
2017-04-01,2017,Hartford,15,Vermont,13,Hartford
2017-04-01,2017,Albany (NY),19,Stony Brook,11,Albany (NY)
2017-04-01,2017,Michigan,8,Maryland,15,Maryland
2017-04-01,2017,Colgate,5,Loyola Maryland,12,Loyola Maryland
2017-04-01,2017,Dartmouth,5,Cornell,14,Cornell
2017-04-01,2017,Yale,14,Penn,12,Yale
2017-04-01,2017,High Point,12,Mercer,13,Mercer
2017-04-01,2017,Furman,15,Jacksonville,9,Furman
2017-04-01,2017,Bellarmine,2,Air Force,20,Air Force
2017-04-01,2017,VMI,14,Hampton,1,VMI
2017-04-01,2017,Marquette,9,Villanova,10,Villanova
2017-04-01,2017,Georgetown,11,Denver,20,Denver
2017-04-01,2017,Providence,15,St. John's (NY),6,Providence
2017-04-01,2017,Army,11,Bucknell,10,Army
2017-04-01,2017,Boston U.,6,Lehigh,10,Lehigh
2017-04-01,2017,Brown,11,Princeton,21,Princeton
2017-04-04,2017,Yale,23,St. John's (NY),7,Yale
2017-04-04,2017,Monmouth,9,Lafayette,8,Monmouth
2017-04-04,2017,Cleveland St.,7,Virginia,20,Virginia
2017-04-08,2017,Bucknell,10,Mt. St. Mary's,12,Mt. St. Mary's
2017-04-08,2017,UMBC,5,Albany (NY),10,Albany (NY)
2017-04-08,2017,Penn St.,11,Maryland,15,Maryland
2017-04-08,2017,Hofstra,11,Delaware,9,Hofstra
2017-04-08,2017,Fairfield,12,Drexel,13,Drexel
2017-04-08,2017,Massachusetts,8,Towson,11,Towson
2017-04-08,2017,Sacred Heart,7,Bryant,13,Bryant
2017-04-08,2017,Wagner,6,Robert Morris,17,Robert Morris
2017-04-08,2017,Hobart,8,Saint Joseph's,7,Hobart
