Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game
2017-02-25,2017,monmouth,10.0,delaware,11.0,delaware,5.0,6.0,7.33,5.0,0.81,0.875,0.515,0.486,21.33,25.67,0.571,0.625,0.4,0.455,,,10.33,12.0,8.67,9.67,9.67,10.0,0.67,2.0,0.287,0.34,11.0,12.0
2017-02-25,2017,cleveland st.,6.0,denver,19.0,denver,5.5,6.5,7.5,3.0,0.828,0.967,0.495,0.694,28.5,30.5,0.417,0.2,0.235,0.429,,,9.75,14.0,10.5,9.0,11.25,7.5,-1.5,6.5,0.336,0.337,16.25,9.0
2017-02-25,2017,virginia,10.0,penn,11.0,penn,12.33,4.0,11.0,1.0,0.868,0.941,0.532,0.471,54.0,26.0,0.667,1.0,0.545,0.333,,,18.0,10.0,10.33,15.0,14.0,5.0,4.0,5.0,0.365,0.263,17.33,7.0
2017-02-25,2017,penn st.,17.0,villanova,12.0,penn st.,12.33,7.5,4.67,6.0,0.929,0.92,0.716,0.589,40.0,29.0,0.5,1.0,0.4,0.5,,,18.67,10.5,9.0,6.5,12.0,14.0,6.67,-3.5,0.434,0.223,12.67,13.0
2017-02-25,2017,vermont,6.0,providence,8.0,providence,10.0,5.67,8.0,7.33,0.814,0.859,0.378,0.593,23.33,29.67,0.615,0.733,0.467,0.375,,,13.33,8.0,9.33,10.33,10.67,6.0,2.67,2.0,0.488,0.231,18.67,18.0
2017-02-25,2017,stony brook,25.0,brown,17.0,stony brook,8.5,16.0,7.0,13.0,0.933,0.839,0.49,0.632,29.5,53.0,0.6,0.75,0.7,0.667,,,13.0,25.0,10.0,10.0,8.0,9.0,5.0,16.0,0.351,0.373,12.5,26.0
2017-02-25,2017,hartford,11.0,bryant,17.0,bryant,4.0,7.0,4.0,9.33,0.875,0.891,0.429,0.448,24.0,26.67,0.75,0.75,0.5,0.5,,,5.0,10.33,10.0,10.67,12.0,8.67,-7.0,1.67,0.139,0.292,12.0,16.33
2017-02-25,2017,ualbany,19.0,drexel,8.0,albany (ny),6.0,11.0,7.0,7.0,0.889,0.708,0.286,0.361,24.0,35.0,0.667,0.2,0.333,0.5,,,9.0,14.0,13.0,12.0,10.0,18.0,-1.0,-4.0,0.281,0.438,9.0,25.0
2017-02-25,2017,cornell,8.0,hobart,16.0,hobart,2.0,6.0,4.0,3.0,0.923,0.871,0.265,0.403,22.0,24.0,0.667,0.444,0.5,,,,10.0,15.5,14.0,10.0,20.0,18.0,-10.0,-2.5,0.313,0.388,14.0,9.0
2017-02-25,2017,yale,11.0,maryland,12.0,maryland,9.0,9.67,4.0,6.67,0.938,0.909,0.484,0.541,26.0,35.0,0.333,0.667,,0.7,,,16.0,16.67,15.0,11.33,11.0,8.33,5.0,8.33,0.533,0.42,12.0,13.0
2017-02-25,2017,mercer,4.0,umbc,15.0,umbc,6.5,3.33,13.0,7.67,0.878,0.778,0.633,0.435,26.5,22.33,0.556,0.5,0.375,0.125,,,11.0,5.33,11.0,9.0,10.5,14.0,0.5,-8.67,0.278,0.195,19.0,15.67
2017-02-25,2017,bellarmine,14.0,quinnipiac,13.0,bellarmine,3.0,8.0,7.5,11.0,0.857,0.84,0.409,0.368,16.5,38.0,0.857,0.333,0.333,0.25,,,6.5,9.0,10.5,16.0,11.5,25.0,-5.0,-16.0,0.181,0.3,14.0,33.0
2017-02-25,2017,jacksonville,8.0,ohio st.,16.0,ohio st.,6.0,4.67,6.0,4.33,0.846,0.845,0.541,0.53,28.33,28.33,0.375,0.5,0.231,0.444,,,8.0,11.33,13.67,9.67,14.0,7.0,-6.0,4.33,0.27,0.306,14.33,10.67
2017-02-25,2017,st. john's,6.0,high point,15.0,high point,3.5,3.67,3.5,6.0,0.853,0.88,0.563,0.311,25.0,19.67,0.167,0.615,0.5,0.3,,,6.5,6.33,11.5,13.0,15.0,10.67,-8.5,-4.33,0.194,0.224,13.5,13.0
2017-02-25,2017,marquette,2.0,richmond,9.0,richmond,8.0,8.67,11.0,7.33,0.85,0.937,0.545,0.633,35.0,29.0,1.0,0.917,1.0,0.3,,,17.0,11.67,12.0,11.67,1.0,5.0,16.0,6.67,0.425,0.354,13.0,12.67
2017-02-25,2017,lehigh,8.0,holy cross,14.0,holy cross,7.33,3.67,8.0,11.67,0.878,0.926,0.6,0.443,35.33,25.0,0.8,0.7,0.333,0.4,,,12.0,7.0,9.67,7.33,10.67,12.0,1.33,-5.0,0.303,0.223,13.0,15.0
2017-02-25,2017,loyola maryland,18.0,lafayette,5.0,loyola maryland,9.5,5.0,7.0,6.0,0.947,0.848,0.576,0.532,39.5,26.5,0.75,0.25,0.4,0.444,,,14.0,7.0,9.5,12.0,15.0,13.0,-1.0,-6.0,0.35,0.175,17.0,12.0
2017-02-25,2017,boston u.,8.0,navy,7.0,boston u.,9.0,6.33,6.0,8.67,0.831,0.804,0.588,0.64,30.33,32.33,0.583,0.5,0.333,0.4,,,12.67,10.33,18.0,11.67,6.67,11.67,6.0,-1.33,0.336,0.337,16.0,16.33
2017-02-25,2017,colgate,15.0,bucknell,10.0,colgate,5.0,8.33,4.0,8.33,0.879,0.848,0.583,0.526,24.0,32.0,0.4,0.778,0.5,0.417,,,8.0,11.67,12.5,10.0,11.5,11.33,-3.5,0.33,0.19,0.25,16.5,10.0
2017-02-28,2017,lafayette,10.0,sacred heart,14.0,sacred heart,4.0,6.0,6.67,9.33,0.804,0.904,0.493,0.466,27.33,27.0,0.4,0.733,0.4,0.308,,,6.33,11.67,13.33,12.0,14.67,9.33,-8.33,2.33,0.175,0.327,13.67,15.0
2017-02-28,2017,villanova,15.0,drexel,13.0,villanova,7.67,6.0,7.33,6.5,0.925,0.804,0.545,0.343,29.0,32.0,0.556,0.5,0.5,0.2,,,11.0,11.0,7.67,11.0,15.0,18.5,-4.0,-7.5,0.226,0.289,11.33,15.0
2017-02-28,2017,vermont,9.0,dartmouth,11.0,dartmouth,8.75,2.5,8.0,9.0,0.831,0.868,0.424,0.44,23.25,32.0,0.684,0.8,0.333,0.143,,,11.5,8.0,9.25,11.0,10.0,14.0,1.5,-6.0,0.422,0.198,19.5,18.0
2017-02-28,2017,njit,4.0,hofstra,20.0,hofstra,3.33,4.5,5.0,2.5,0.83,0.875,0.193,0.452,21.67,28.5,,0.7,0.25,0.6,,,7.0,10.5,13.0,10.5,15.33,8.5,-8.33,2.0,0.284,0.318,12.0,8.5
